GameId,PlayId,Yards
2017090700,20170907000118,8
2017090700,20170907000139,3
2017090700,20170907000189,5
2017090700,20170907000345,2
2017090700,20170907000395,7
2017090700,20170907000473,10
2017090700,20170907000516,-1
2017090700,20170907000653,0
2017090700,20170907000680,9
2017090700,20170907000801,9
2017090700,20170907000917,2
2017090700,20170907001004,3
2017090700,20170907001077,13
2017090700,20170907001156,4
2017090700,20170907001177,0
2017090700,20170907001296,4
2017090700,20170907001355,4
2017090700,20170907001376,4
2017090700,20170907001443,0
2017090700,20170907001488,16
2017090700,20170907001509,9
2017090700,20170907001530,4
2017090700,20170907001551,2
2017090700,20170907001605,2
2017090700,20170907001664,3
2017090700,20170907001715,1
2017090700,20170907001736,4
2017090700,20170907001819,4
2017090700,20170907001955,7
2017090700,20170907002430,10
2017090700,20170907002648,2
2017090700,20170907002669,-4
2017090700,20170907002829,4
2017090700,20170907002900,5
2017090700,20170907002961,1
2017090700,20170907003138,0
2017090700,20170907003161,1
2017090700,20170907003261,1
2017090700,20170907003444,7
2017090700,20170907003465,4
2017090700,20170907003507,-6
2017090700,20170907003635,13
2017090700,20170907003874,0
2017090700,20170907004025,2
2017090700,20170907004046,14
2017090700,20170907004182,7
2017090700,20170907004314,4
2017090700,20170907004465,58
2017090700,20170907004486,21
2017090700,20170907004622,2
2017090700,20170907004660,2
2017090700,20170907004721,3
2017091000,20170910000081,3
2017091000,20170910000221,16
2017091000,20170910000242,4
2017091000,20170910000263,3
2017091000,20170910000305,10
2017091000,20170910000358,-6
2017091000,20170910000626,3
2017091000,20170910000882,-1
2017091000,20170910000978,1
2017091000,20170910001020,23
2017091000,20170910001041,0
2017091000,20170910001102,14
2017091000,20170910001123,2
2017091000,20170910001522,20
2017091000,20170910001543,-1
2017091000,20170910001622,3
2017091000,20170910001689,4
2017091000,20170910001738,3
2017091000,20170910001770,2
2017091000,20170910002211,0
2017091000,20170910002293,1
2017091000,20170910002384,1
2017091000,20170910002477,0
2017091000,20170910002577,0
2017091000,20170910002631,2
2017091000,20170910002754,8
2017091000,20170910002891,1
2017091000,20170910003180,8
2017091000,20170910003233,1
2017091000,20170910003275,27
2017091000,20170910003296,0
2017091000,20170910003350,3
2017091000,20170910003371,1
2017091000,20170910003454,1
2017091000,20170910003475,11
2017091000,20170910003531,4
2017091000,20170910003608,2
2017091000,20170910003629,-1
2017091000,20170910003857,5
2017091000,20170910003878,-3
2017091000,20170910004094,2
2017091000,20170910004132,1
2017091000,20170910004196,3
2017091000,20170910004249,0
2017091001,20170910010071,6
2017091001,20170910010164,3
2017091001,20170910010209,5
2017091001,20170910010254,2
2017091001,20170910010275,-1
2017091001,20170910010354,1
2017091001,20170910010475,4
2017091001,20170910010624,11
2017091001,20170910010753,15
2017091001,20170910010774,2
2017091001,20170910010887,5
2017091001,20170910010908,0
2017091001,20170910011140,1
2017091001,20170910011209,1
2017091001,20170910011230,3
2017091001,20170910011331,7
2017091001,20170910011373,5
2017091001,20170910011436,3
2017091001,20170910011457,46
2017091001,20170910011478,4
2017091001,20170910011499,2
2017091001,20170910011572,5
2017091001,20170910011593,6
2017091001,20170910011743,9
2017091001,20170910011764,7
2017091001,20170910011785,2
2017091001,20170910011889,0
2017091001,20170910011995,5
2017091001,20170910012016,1
2017091001,20170910012141,1
2017091001,20170910012162,6
2017091001,20170910012231,0
2017091001,20170910012383,6
2017091001,20170910012525,-3
2017091001,20170910012546,3
2017091001,20170910012578,2
2017091001,20170910013273,-1
2017091001,20170910013353,0
2017091002,20170910020104,12
2017091002,20170910020125,1
2017091002,20170910020240,-1
2017091002,20170910020284,7
2017091002,20170910020344,1
2017091002,20170910020394,0
2017091002,20170910020565,4
2017091002,20170910020650,1
2017091002,20170910020695,8
2017091002,20170910020722,1
2017091002,20170910020801,4
2017091002,20170910021000,2
2017091002,20170910021045,23
2017091002,20170910021066,3
2017091002,20170910021087,1
2017091002,20170910021156,1
2017091002,20170910021198,2
2017091002,20170910021274,4
2017091002,20170910021339,7
2017091002,20170910021462,1
2017091002,20170910021483,10
2017091002,20170910021528,4
2017091002,20170910021560,1
2017091002,20170910021686,4
2017091002,20170910021733,2
2017091002,20170910021803,5
2017091002,20170910021889,7
2017091002,20170910021984,17
2017091002,20170910022041,2
2017091002,20170910022115,3
2017091002,20170910022184,2
2017091002,20170910022268,7
2017091002,20170910022289,2
2017091002,20170910022310,7
2017091002,20170910022363,6
2017091002,20170910022384,3
2017091002,20170910022422,2
2017091002,20170910022443,2
2017091002,20170910022464,4
2017091002,20170910022502,6
2017091002,20170910022523,0
2017091002,20170910022544,4
2017091002,20170910022598,7
2017091002,20170910022619,1
2017091002,20170910022695,3
2017091002,20170910022897,11
2017091002,20170910022935,2
2017091002,20170910022956,-3
2017091002,20170910023000,4
2017091002,20170910023135,1
2017091002,20170910023201,4
2017091002,20170910023245,8
2017091002,20170910023266,-2
2017091002,20170910023510,-1
2017091002,20170910023552,2
2017091002,20170910023584,8
2017091002,20170910023662,3
2017091002,20170910023694,4
2017091002,20170910023769,-2
2017091002,20170910023790,7
2017091002,20170910023828,2
2017091002,20170910023889,-4
2017091002,20170910023910,-5
2017091003,20170910030080,-9
2017091003,20170910030129,4
2017091003,20170910030204,5
2017091003,20170910030225,3
2017091003,20170910030257,1
2017091003,20170910030555,2
2017091003,20170910030626,6
2017091003,20170910030724,3
2017091003,20170910030745,1
2017091003,20170910030812,2
2017091003,20170910030915,0
2017091003,20170910031022,3
2017091003,20170910031123,-1
2017091003,20170910031213,1
2017091003,20170910031312,0
2017091003,20170910031375,1
2017091003,20170910031605,1
2017091003,20170910031626,3
2017091003,20170910031897,5
2017091003,20170910031976,3
2017091003,20170910032219,4
2017091003,20170910032270,2
2017091003,20170910032390,2
2017091003,20170910032468,1
2017091003,20170910032489,5
2017091003,20170910032712,6
2017091003,20170910032915,5
2017091003,20170910032982,4
2017091003,20170910033027,1
2017091003,20170910033186,1
2017091003,20170910033344,0
2017091003,20170910033478,1
2017091003,20170910033752,15
2017091004,20170910040097,2
2017091004,20170910040153,-2
2017091004,20170910040233,5
2017091004,20170910040316,0
2017091004,20170910040432,6
2017091004,20170910040453,0
2017091004,20170910040624,1
2017091004,20170910040781,1
2017091004,20170910040876,1
2017091004,20170910040945,-1
2017091004,20170910041065,3
2017091004,20170910041179,3
2017091004,20170910041342,5
2017091004,20170910041413,5
2017091004,20170910041505,3
2017091004,20170910041526,6
2017091004,20170910041549,-2
2017091004,20170910041769,-4
2017091004,20170910042059,3
2017091004,20170910042481,0
2017091004,20170910042550,2
2017091004,20170910042640,3
2017091004,20170910042685,4
2017091004,20170910042739,10
2017091004,20170910042962,3
2017091004,20170910043043,2
2017091004,20170910043146,5
2017091004,20170910043178,3
2017091004,20170910043278,1
2017091004,20170910043299,1
2017091004,20170910043347,1
2017091004,20170910043607,4
2017091004,20170910043652,1
2017091004,20170910043684,-2
2017091004,20170910043941,7
2017091004,20170910043962,5
2017091004,20170910044007,1
2017091004,20170910044546,6
2017091004,20170910044567,2
2017091005,20170910050077,4
2017091005,20170910050098,9
2017091005,20170910050273,1
2017091005,20170910050354,3
2017091005,20170910050375,2
2017091005,20170910050435,6
2017091005,20170910050504,6
2017091005,20170910050525,-1
2017091005,20170910050570,-1
2017091005,20170910050682,11
2017091005,20170910050703,6
2017091005,20170910050748,17
2017091005,20170910050801,12
2017091005,20170910050855,-1
2017091005,20170910050876,3
2017091005,20170910051003,-2
2017091005,20170910051126,-1
2017091005,20170910051147,4
2017091005,20170910051214,4
2017091005,20170910051312,4
2017091005,20170910051333,-1
2017091005,20170910051425,3
2017091005,20170910051499,4
2017091005,20170910051555,2
2017091005,20170910051604,4
2017091005,20170910051636,3
2017091005,20170910051678,1
2017091005,20170910051699,0
2017091005,20170910051724,1
2017091005,20170910052048,7
2017091005,20170910052125,7
2017091005,20170910052146,0
2017091005,20170910052191,2
2017091005,20170910052236,7
2017091005,20170910052302,4
2017091005,20170910052578,7
2017091005,20170910052654,1
2017091005,20170910052675,1
2017091005,20170910052720,7
2017091005,20170910052786,1
2017091005,20170910052862,4
2017091005,20170910052926,2
2017091005,20170910053002,8
2017091005,20170910053045,5
2017091005,20170910053090,3
2017091005,20170910053140,4
2017091005,20170910053178,17
2017091005,20170910053199,1
2017091005,20170910053220,0
2017091005,20170910053265,5
2017091005,20170910053374,4
2017091005,20170910053479,1
2017091005,20170910053500,3
2017091005,20170910053837,2
2017091005,20170910053880,1
2017091005,20170910053919,4
2017091005,20170910054015,8
2017091007,20170910070082,14
2017091007,20170910070280,5
2017091007,20170910070301,5
2017091007,20170910070322,2
2017091007,20170910070389,1
2017091007,20170910070410,1
2017091007,20170910070508,4
2017091007,20170910070575,5
2017091007,20170910070686,3
2017091007,20170910070742,5
2017091007,20170910070787,2
2017091007,20170910070825,1
2017091007,20170910070963,0
2017091007,20170910070984,5
2017091007,20170910071055,0
2017091007,20170910071100,4
2017091007,20170910071145,2
2017091007,20170910071190,2
2017091007,20170910071272,3
2017091007,20170910071293,2
2017091007,20170910071338,2
2017091007,20170910071491,8
2017091007,20170910071833,5
2017091007,20170910071926,-2
2017091007,20170910072027,7
2017091007,20170910072106,-1
2017091007,20170910072191,2
2017091007,20170910072306,2
2017091007,20170910072474,6
2017091007,20170910072546,21
2017091007,20170910072613,-1
2017091007,20170910072718,12
2017091007,20170910072739,4
2017091007,20170910072999,0
2017091007,20170910073072,1
2017091007,20170910073093,3
2017091007,20170910073161,7
2017091007,20170910073407,4
2017091007,20170910073428,3
2017091007,20170910073449,7
2017091007,20170910073487,9
2017091007,20170910073525,5
2017091007,20170910073563,2
2017091007,20170910073584,6
2017091007,20170910073622,-2
2017091008,20170910080090,-1
2017091008,20170910080135,-1
2017091008,20170910080385,4
2017091008,20170910080492,6
2017091008,20170910080572,1
2017091008,20170910080653,4
2017091008,20170910080740,4
2017091008,20170910080761,5
2017091008,20170910080782,-2
2017091008,20170910080864,4
2017091008,20170910080909,6
2017091008,20170910080971,2
2017091008,20170910081087,6
2017091008,20170910081108,2
2017091008,20170910081154,-1
2017091008,20170910081175,1
2017091008,20170910081338,7
2017091008,20170910081428,2
2017091008,20170910081591,4
2017091008,20170910081705,4
2017091008,20170910081816,0
2017091008,20170910082188,0
2017091008,20170910082538,4
2017091008,20170910082744,6
2017091008,20170910083016,5
2017091008,20170910083158,2
